Topic,Question,Option A,Option B,Option C,Option D,Correct Answer,subcategory
Rules of Engagement (TBS B130936),A civilian drone flies over your unit during patrol.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilians on the Battlefield (COB)
Rules of Engagement (TBS B130936),A journalist refuses to leave an active combat area.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilians on the Battlefield (COB)
Rules of Engagement (TBS B130936),Civilians begin crowding your patrol in a known hostile region.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilians on the Battlefield (COB)
Rules of Engagement (TBS B130936),A helicopter receives small arms fire from a civilian building.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilians on the Battlefield (COB)
Rules of Engagement (TBS B130936),A civilian vehicle follows your convoy suspiciously.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilians on the Battlefield (COB)
Rules of Engagement (TBS B130936),A person throws a rock at your patrol.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilians on the Battlefield (COB)
Rules of Engagement (TBS B130936),A group of civilians runs away as your patrol nears.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilians on the Battlefield (COB)
Rules of Engagement (TBS B130936),A suspicious package is seen next to a civilian market.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilians on the Battlefield (COB)
Rules of Engagement (TBS B130936),A civilian refuses to vacate a building about to be shelled.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilians on the Battlefield (COB)
Rules of Engagement (TBS B130936),A civilian drone flies over your unit during patrol.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilians on the Battlefield (COB)
Rules of Engagement (TBS B130936),A journalist refuses to leave an active combat area.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilians on the Battlefield (COB)
Rules of Engagement (TBS B130936),Civilians begin crowding your patrol in a known hostile region.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilians on the Battlefield (COB)
Rules of Engagement (TBS B130936),A helicopter receives small arms fire from a civilian building.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilians on the Battlefield (COB)
Rules of Engagement (TBS B130936),A civilian vehicle follows your convoy suspiciously.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilians on the Battlefield (COB)
Rules of Engagement (TBS B130936),A person throws a rock at your patrol.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilians on the Battlefield (COB)
Rules of Engagement (TBS B130936),A group of civilians runs away as your patrol nears.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilians on the Battlefield (COB)
Rules of Engagement (TBS B130936),A suspicious package is seen next to a civilian market.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilians on the Battlefield (COB)
Rules of Engagement (TBS B130936),A civilian refuses to vacate a building about to be shelled.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilians on the Battlefield (COB)
Rules of Engagement (TBS B130936),A civilian drone flies over your unit during patrol.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilians on the Battlefield (COB)
Rules of Engagement (TBS B130936),A journalist refuses to leave an active combat area.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilians on the Battlefield (COB)
