Topic,Question,Option A,Option B,Option C,Option D,Correct Answer,subcategory
Ethical Dilemmas (ADA590672),You’re asked to destroy reports showing disproportionate civilian impact.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're instructed to stage photos of 'successful' humanitarian aid.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're told to intimidate civilians during door-to-door searches.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You’re ordered to treat local civilian journalists as combatants.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You observe your squad looting a civilian home during a pause in operations.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),"During a humanitarian mission, a local civilian offers a bribe for extra supplies.",Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're told to falsify an after-action report to cover up civilian casualties.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),Your CO insists on advancing through a village known to be full of noncombatants.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're asked to supervise a checkpoint known for aggressive treatment of civilians.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You hear a subordinate joke about intentionally firing near civilians.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),Your team destroys crops to deny food to the enemy despite civilian dependence.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You’re instructed to use psychological operations on civilian populations.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're ordered to drive civilians from their homes with no plan for relocation.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You discover your unit plans to sabotage civilian infrastructure.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You’re told to ignore wounded civilians to maintain stealth.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),A drone strike is cleared even though noncombatants are present.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're told to ignore sexual harassment toward local female civilians.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You’re asked to destroy reports showing disproportionate civilian impact.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're instructed to stage photos of 'successful' humanitarian aid.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're told to intimidate civilians during door-to-door searches.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You’re ordered to treat local civilian journalists as combatants.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You observe your squad looting a civilian home during a pause in operations.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),"During a humanitarian mission, a local civilian offers a bribe for extra supplies.",Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're told to falsify an after-action report to cover up civilian casualties.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),Your CO insists on advancing through a village known to be full of noncombatants.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're asked to supervise a checkpoint known for aggressive treatment of civilians.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You hear a subordinate joke about intentionally firing near civilians.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),Your team destroys crops to deny food to the enemy despite civilian dependence.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You’re instructed to use psychological operations on civilian populations.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're ordered to drive civilians from their homes with no plan for relocation.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You discover your unit plans to sabotage civilian infrastructure.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You’re told to ignore wounded civilians to maintain stealth.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),A drone strike is cleared even though noncombatants are present.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're told to ignore sexual harassment toward local female civilians.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You’re asked to destroy reports showing disproportionate civilian impact.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're instructed to stage photos of 'successful' humanitarian aid.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're told to intimidate civilians during door-to-door searches.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You’re ordered to treat local civilian journalists as combatants.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You observe your squad looting a civilian home during a pause in operations.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),"During a humanitarian mission, a local civilian offers a bribe for extra supplies.",Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're told to falsify an after-action report to cover up civilian casualties.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),Your CO insists on advancing through a village known to be full of noncombatants.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're asked to supervise a checkpoint known for aggressive treatment of civilians.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You hear a subordinate joke about intentionally firing near civilians.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),Your team destroys crops to deny food to the enemy despite civilian dependence.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You’re instructed to use psychological operations on civilian populations.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're ordered to drive civilians from their homes with no plan for relocation.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You discover your unit plans to sabotage civilian infrastructure.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You’re told to ignore wounded civilians to maintain stealth.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),A drone strike is cleared even though noncombatants are present.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're told to ignore sexual harassment toward local female civilians.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You’re asked to destroy reports showing disproportionate civilian impact.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're instructed to stage photos of 'successful' humanitarian aid.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're told to intimidate civilians during door-to-door searches.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You’re ordered to treat local civilian journalists as combatants.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
